model,global_rank,candidate,params,training_seconds,model_size_bytes,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,inference_seconds,inference_ms_per_sample
decision_tree,10,3,"{""max_depth"": null, ""min_samples_leaf"": 1}",51.43973031299993,2963991,0.6715380952380953,0.6715380952380953,0.6747840365565411,0.674784036556541,0.6551627296141819,0.09557678200008013,0.00022756376666685746
hist_gradient_boosting,3,2,"{""learning_rate"": 0.05, ""max_iter"": 350, ""max_leaf_nodes"": 31}",30.99167658299939,4548150,0.7521404761904762,0.7521404761904763,0.7685584130729781,0.768558413072978,0.740474052082319,5.578160682000089,0.013281334957143068
linear_svm,16,3,"{""alpha"": 1e-05}",3.6554594810004346,5111,0.4649214285714286,0.46492142857142854,0.46349662553268395,0.46349662553268384,0.44062649000992343,0.04536188200017932,0.00010800448095280791
logistic_regression,13,2,"{""C"": 1.0}",58.662500163999994,4948,0.48497619047619045,0.48497619047619056,0.47066507154821274,0.47066507154821274,0.4603320569025624,0.049790681999638764,0.00011854924285628277
random_forest,7,3,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 400}",439.6079565559994,989513598,0.7326833333333334,0.7326833333333332,0.7457325892996753,0.7457325892996753,0.7195861883233953,7.05843182299941,0.0168057900547605
xgboost,1,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.8}",77.90839355600019,6887906,0.754797619047619,0.754797619047619,0.770156710022466,0.770156710022466,0.7431887688693278,2.375013009000213,0.005654792878571936
