,hist_gradient_boosting,random_forest,extra_trees,decision_tree,logistic_regression,linear_svm
hist_gradient_boosting,1.0,0.3501226664322572,3.852306094231928e-06,0.0,0.0,0.0
random_forest,0.3501226664322572,1.0,0.01935449616109708,0.0,0.0,0.0
extra_trees,3.852306094231928e-06,0.01935449616109708,1.0,0.0,0.0,0.0
decision_tree,0.0,0.0,0.0,1.0,0.0,0.0
logistic_regression,0.0,0.0,0.0,0.0,1.0,0.9997753244479803
linear_svm,0.0,0.0,0.0,0.0,0.9997753244479803,1.0
