model,recomputed_average_rank,stored_average_rank,absolute_difference
hist_gradient_boosting,2.706857142857143,2.706857142857143,0.0
random_forest,2.758142857142857,2.758142857142857,0.0
extra_trees,2.839857142857143,2.839857142857143,0.0
decision_tree,3.7024285714285714,3.7024285714285714,0.0
logistic_regression,4.492761904761905,4.492761904761905,0.0
linear_svm,4.499952380952381,4.499952380952381,0.0
