runs_per_class,train_rows,train_seconds,n_jobs,L_accuracy,L_macro_f1,L_mcc,P_accuracy,P_macro_f1,P_mcc,delta_L,delta_P
10,105000,59.04639649391174,24,0.7358866666666667,0.7538477963404016,0.7231701012463437,0.763880198019802,0.7779701672632567,0.7524043230519014,,
20,210000,65.16050457954407,24,0.7451447619047619,0.7590698956274942,0.7327939124192007,0.7736980198019802,0.78470772514524,0.762638506294688,0.0052220992870926075,0.006737557881983269
40,420000,111.64027976989746,24,0.7538495238095239,0.7672310318655042,0.7421123401527067,0.782789108910891,0.7929667524922815,0.7722991003828079,0.00816113623801007,0.008259027347041537
80,840000,175.4296064376831,24,0.7602780952380952,0.7755785396314332,0.7490844121189572,0.7890009900990099,0.7987554250163045,0.7789477096282305,0.008347507765928963,0.005788672524022931
160,1680000,357.4211673736572,24,0.7633438095238095,0.7806493446802439,0.752657480820097,0.7923069306930693,0.8015878235658074,0.7826816074626421,0.005070805048810745,0.0028323985495029014
