protocol,metric,mean,ci_low,ci_high
literal,accuracy,0.6754336296626984,0.6715569146825396,0.6796643973214286
literal,balanced_accuracy,0.6754127492413559,0.6747686838447889,0.6760424994539254
literal,macro_f1,0.7199627462451225,0.7191673849778973,0.7208183503859922
literal,mcc,0.6620908537097244,0.6578971578562502,0.6666401963807985
post-onset,accuracy,0.7949584196369731,0.7897935220599777,0.8006005490735301
post-onset,balanced_accuracy,0.8005558314396299,0.7997701668206747,0.801316242928157
post-onset,macro_f1,0.8053559217456361,0.8044309726047122,0.8063019027264937
post-onset,mcc,0.7852284190518355,0.7798047927578586,0.791035247758293
